,가게이름,전화번호,카테고리,주소,운영시간,홈페이지,메뉴,블로그리뷰수
136,오로라베이커리카페 성수점,02-2157-1177,카페/디저트, 아차산로 126 1층 101호~103호,매일 08:30~22:00,,"곰도리카노 5,500 | 아메리카노 4,800 | 카페라떼 5,200 | 카푸치노 5,200 | 헤이즐넛 라떼 5,200 | 바닐라 라떼 5,200 | 카라멜 마끼야또 5,200 | 카페모카 5,200 | 자색고구마 라떼 5,500 | 쑥 라떼 5,500 | 흑임자 라떼 5,500 | 초코 라떼 5,500 | 말차 라떼 5,500 | 로얄 밀크티 6,000 | 딸기라떼 6,000 | 플레인요거트스무디 6,500 | 딸기요거트스무디 6,500 | 블루베리요거트스무디 6,500 | 리얼망고스무디 8,500 | 레몬에이드 6,500 | 자몽에이드 6,500 | 청포도에이드 6,500 | 한라봉에이드 6,500 | 청귤에이드 6,500 | 키위주스 7,500 | 청포도 주스 7,500 | 생딸기 주스 8,000 | 자몽차/레몬차 5,500 | 한라봉차/청귤차 5,500 | 복숭아 아이스티 5,500 | 꽃잎차 7,000 | 캐모마일/페퍼민트/얼그레이 5,500 | 메뉴판 변동가격(업주문의)",131
137,스탠서울,070-4105-2881,펍, 연무장길 33 1층,월요일 11:00~00:00 break time 14:00 - 17:00 | 화요일 11:00~00:00 break time 14:00 - 17:00 | 수요일 11:00~00:00 break time 14:00 - 17:00 | 목요일 11:00~00:00 break time 14:00 - 17:00 | 금요일 11:00~00:00 break time 14:00 - 17:00 | 토요일 13:00~00:00 no break (저녁영업 준비로 16:00- 17:00 사이 음식주문은 제한됩니다.) | 일요일 13:00~00:00 no break (저녁영업 준비로 16:00- 17:00 사이 음식주문은 제한됩니다.),https://www.instagram.com/stan.seoul/,"피칸 브라우니 w/ 바닐라크림 7,000 | 이베리코 돈마호크 스테이크 26,000 | 트러플 파스타 21,000 | 어글리 미트볼 파스타 16,500 | 패티 맬트 w/ 프라이즈 13,000 | 쵸리죠그릴치즈 w/토마토수프 12,500 | 칠리 프라이즈 9,500 | 칠리 수프 4,900 | 프라이즈 2,500 | 코울슬로 2,000 | 핫 치킨 필렛 3,000 | 풀드포크 7,500 | 슬로피조 7,000 | 싱글버거 6,500 | 더블버거 8,200 | 트리플버거 9,900",131
138,러프러프,010-4796-8203,카페/디저트, 연무장길 81 401호,,https://www.instagram.com/rufruf_museum/,"말차라떼 5,500 | 카야치즈크로플 5,300 | 츄로플 7,500 | 러핀 3,500 | RUF Latte 러프라떼 6,000 | 쑥 라떼 5,500 | 러프 샌드위치 8,500 | 러프플래터 20,000 | 크래커플래터 9,000",127
139,우오보 파스타 바,02-2222-2221,펍, 광나루로4길 1-16 1층,매일 16:00~22:00 주문 마감 21:00 | 일요일 휴무 | 월요일 휴무,https://app.catchtable.co.kr/ct/shop/uovopastabar,생면 파스타 변동가격(업주문의) | 와인 변동가격(업주문의),127
140,달구벌반점,070-8621-1658,중식, 아차산로13길 37 2층,평일 11:00~22:00 월~금 | 토요일 11:00~17:00 | 일요일 휴무,https://www.instagram.com/dalgubeol_seongsu,"불고기 짬뽕 8,000 | 짬뽕 6,000 | 불고기 짜장면 6,000 | 짜장면 5,000 | 고추간짜장 8,000 | 중화비빔밥 8,000 | 새우볶음밥 8,000 | 탕수육(大) 20,000 | 양장피 25,000 | 고추잡채 25,000 | 삼겹유린 21,000 | 크림새우 or 칠리새우 25,000 | 중화비빔만두 12,000 | 부추볶음 8,000",125
141,청주한씨,070-4086-0933,펍, 연무장길 41-22 지하 1층,매일 18:00~22:30 매월 일요일과 격주 월요일 휴무,,"청주한씨 술상 39,000",122
142,빠레뜨한남 성수점,02-466-1314,양식, 연무장7가길 2 1층 빠레뜨한남,매일 11:30~21:00 브레이크타임 15시 30분~17시,http://www.빠레뜨한남.com,"빠레뜨파스타 16,000 | 오므라이스 13,000 | 들기름 육회파스타 16,000 | 함박 스테이크 15,000 | 하우스 스테이크 35,000 | 새우 포케 12,000 | 스테이크 포케 14,000 | 프렌치 토스트 11,000 | 블랙트러플파스타 14,000 | 라구 볼로네제 15,000 | 감바스 알리오 올리오 13,000 | 로제 찜닭 리조또 13,000 | 오야꼬동(닭고기 덮밥) 9,500 | 우삼겹 덮밥 9,500 | 우삼겹 샐러드 10,900 | 에이드 5,000",121
143,세광양대창 성수점,02-464-4201,고기집, 아차산로 122,매일 12:00~00:00 24:00 마감,http://sgfco.kr,"모듬구이(꽃대창+대창+막창+특양) 45,000 | 꽃대창구이 (150g) 12,000 | 대창구이 (200g) 14,000 | 막창구이 (180g) 13,000 | 특양구이 (130g) 19,000 | 소갈비(220g) 23,000 | 채끝등심(150g) 36,000 | 곱창전골 17,000 | 양볶음밥(2인 분량) 13,000 | 김치우동 7,000 | 냉면(물/비빔) 7,000 | 계란찜 3,000 | [점심특선메뉴] 낙지볶음 8,000 | [점심특선메뉴] 불낙전골 9,000 | [점심특선메뉴]냉면(물/비빔) 7,000 | [점심메뉴]돼지불백 7,000 | [점심메뉴]김치부대전골 8,000 | 김치찌개 7,000",120
144,코코카이,010-6309-4629,펍, 연무장길 35 2F,일요일 11:30~23:00  11:30~17:00 LUNCH / 17:00~23:00 WINE BAR | 토요일 11:30~23:00  11:30~17:00 LUNCH / 17:00~23:00 WINE BAR | 금요일 11:30~23:00  11:30~17:00 LUNCH / 17:00~23:00 WINE BAR | 목요일 11:30~23:00  11:30~17:00 LUNCH / 17:00~23:00 WINE BAR | 수요일 11:30~23:00  11:30~17:00 LUNCH / 17:00~23:00 WINE BAR | 화요일 11:30~23:00  11:30~17:00 LUNCH / 17:00~23:00 WINE BAR,http://instagram.com/kokokai_flowernwine,"치즈 플래터 24,000 | 관자 튀김 14,000 | 라구 파스타 20,000",119
145,성수옥상,010-7597-3723,펍, 연무장17길 5 4층,토요일 17:00~01:00 | 금요일 17:00~01:00 | 목요일 17:00~00:00 | 수요일 17:00~00:00 | 화요일 17:00~00:00 | 월요일 17:00~00:00 | 일요일 17:00~00:00,http://instagram.com/seongsu_oksang,"그릭베리 18,000 | 수비드 항정살 15,000 | 수비드 갈빗살 16,000 | 그릭나나 10,000 | 바질 페스토 파스타 15,000 | 명란 알리오 올리오 파스타 13,000 | 잭허니 아이스크림 8,000",117
146,안주나라,02-466-2702,펍, 동일로18길 23,매일 15:00~04:30 연중무휴,,"홍어삼합 60,000 | 백합탕 30,000 | 홍어애탕 30,000",116
147,솔솥 성수점,010-2046-1130,한식, 연무장5가길 24 솔솥 성수점,,,"스테이크솥밥 15,000 | 도미관자솥밥 15,000 | 전복솥밥 15,000 | 장어솥밥 24,000 | 꼬막솥밥 13,000 | 직접만든 새우튀김 6,500 | 연어사시미 7,500",113
148,청춘고깃간,010-4245-4757,고기집, 아차산로 96,토요일 16:00~02:00 주문마감 01:00 | 금요일 16:00~02:00 주문마감 01:00 | 목요일 16:00~02:00 주문마감 01:00 | 수요일 16:00~02:00 주문마감 01:00 | 화요일 16:00~02:00 주문마감 01:00 | 월요일 16:00~02:00 주문마감 01:00,,"삼겹살3인분+된장찌개+볶음밥1 33,000 | 돼지한마리 47,000 | 육회 한접시(189g) 20,000 | 볶음밥 2,000",112
149,퍼틴 성수점,070-8777-6589,아시안식, 아차산로 126,매일 10:00~21:00 매주 일요일휴무,,"직화 쌀국수 9,000 | 프리미엄쌀국수 10,000 | 곱창쌀국수 13,000 | 분짜 13,500",112
150,홍야동양꼬치 훠궈무한리필,010-8004-0825,중식, 동일로18길 23,"매일 14:00~02:00 휴무일: 첫째, 세째주 화요일 | 매일 23:30~24:00 마지막 주문 시간",,"양꼬치+훠궈 무한리필 20,900 | 훠궈 무한리필 17,900 | 양꼬치 무한리필 18,900",111
151,핵밥 성수점,02-6085-7040,일식, 성수이로 126 1층,평일 11:00~20:00 Break time 15:00 - 17:00 | 토요일 11:00~19:00 | 일요일 휴무,http://www.hecbob.com,"돼지갈비양념덮밥(목전지) 9,900 | 스테이크덮밥 10,900 | 소고기덮밥 10,900 | 우삼겹덮밥 10,900 | 고기듬뿍덮밥 10,500 | 목살덮밥 8,900 | 매운항정살덮밥 9,900 | 치킨마요덮밥 7,900 | 장어덮밥 15,000 | 소고기간장계란밥 7,900 | 연어덮밥 10,900 | 연어장덮밥 10,900 | 닭갈비덮밥 8,900 | 납작대창덮밥 11,900 | 스테이크샐러드덮밥 12,900 | 닭가슴살샐러드덮밥 8,900 | 생연어샐러드덮밥 12,900 | 목살샐러드덮밥 9,900 | 훈제오리샐러드덮밥 10,900",110
152,훈춘양꼬치,02-464-6808,중식, 아차산로34길 38,매일 11:00~01:30,,"양꼬치 10p 13,000 | 마라양꼬치 10p 13,000 | 송아지갈비살 10p 15,000 | 양갈비살 10p 15,000 | 고급양갈비 300g 24,000 | 양지머리 10p 20,000 | 오돌뼈 10p 12,000 | 닭똥집 10p 12,000 | 소혈관 10p 12,000 | 새우 10마리 12,000 | 메추리 10,000 | 찹쌀탕수육 小 10,000 | 찹쌀탕수육 中 15,000 | 고기가지튀김 13,000 | 육단가지볶음 13,000 | 어향가지 15,000 | 지삼선 13,000 | 깐풍기 13,000 | 왕새우튀김 15,000 | 콜라닭날개 13,000 | 마라향과 25,000 | 해물누룽지 13,000 | 경장육사 13,000 | 어향육사 13,000 | 향라육사 15,000 | 새우청경채볶음 13,000 | 건두부볶음 10,000 | 마파두부 10,000 | 계란토마토 10,000 | 계란부추볶음 10,000 | 온면 6,000 | 냉면 7,000 | 마라탕 7,000 | 새우살볶음밥 8,000 | 양탕 8,000 | 물만두 7,000 | 해물짬뽕 10,000 | 가지볶음밥 7,000 | 계란볶음밥 6,000 | 양고기마라탕 10,000 | 새우살군만두 8,000 | 풍미볶음면 7,000 | 꽃빵 5,000 | 훈둔 7,000 | 훈춘비빔면 7,000",109
153,미즈라,02-6223-1072,펍, 아차산로7길 36 1층,토요일 17:30~01:00 | 월요일 17:30~01:00 | 화요일 17:30~01:00 | 수요일 17:30~01:00 | 목요일 17:30~01:00 | 금요일 17:30~01:00 | 평일 17:30~01:00 | 일요일 휴무,https://www.instagram.com/mizura_m/,"10종 사시미(2인기준) 43,000 | 스키야끼 28,000 | 모듬꼬치 10종 27,500 | 멘치카츠 17,000",109
154,천수호프,02-463-1833,펍, 동일로18길 57 2층,매일 13:00~02:30,,"중화새우튀김 18,000 | 편대구 2,500 | 골뱅이 19,000 | 소고기파무침 18,000 | 쯔란오돌뼈 18,000 | 바지락볶음 18,000 | 지삼선 16,000 | 닭날개 16,000 | 아이스황도 7,000 | 통오징어샐러드 16,000 | 나가사끼짬뽕 15,000 | 수제새우튀김 18,000 | 새송이무침 15,000 | 소고기조림 18,000 | 경장육사 16,000 | 꼴뚜기볶음 17,000 | 우삼겹숙주볶음 15,000",108
155,쭈꾸미도사 성수점,02-414-4991,한식, 아차산로 110 1층쭈꾸미도사,목요일 11:00~23:00 평일p.m3~4:30  잠시 쉽니다 | 수요일 11:00~23:00 평일p.m3~4:30  잠시 쉽니다 | 화요일 11:00~23:00 평일p.m3~4:30  잠시 쉽니다 | 월요일 11:00~23:00 평일p.m3~4:30  잠시 쉽니다 | 금요일 11:00~23:00 평일p.m3~4:30  잠시 쉽니다 | 토요일 13:00~23:00 오후1시부터영업합니다 | 일요일 00:00~23:00 휴무,,"대창 쭈꾸미 17,000 | 쭈곱새 15,000 | 오리지널 쭈꾸미 14,000 | 육전 10,000 | 치새볼 6,000 | 계란찜 5,000 | 삼겹쭈꾸미 15,000",106
156,파티세리후르츠,02-6956-1910,카페/디저트, 아차산로5길 37-1 1층,평일 12:00~19:00 | 토요일 12:00~19:00 | 일요일 휴무,https://www.instagram.com/patisserie.fruits,Tarte aux Fruits 변동가격(업주문의) | Fruits Mousse 변동가격(업주문의),105
157,치우,02-462-6587,양식, 연무장7길 7 2층,토요일 11:30~23:00 | 금요일 11:30~23:00 | 목요일 11:30~23:00 | 수요일 11:30~23:00 | 화요일 11:30~23:00 | 월요일 11:30~23:00 | 일요일 00:00~24:00 휴무,http://instagram.com/cheewoo772,"살치살 스테이크 35,000 | 토마토&리조또 19,000 | 쉬림프 파스타 18,000 | 양송이 폭탄 12,000 | 에스까르고 17,000 | 뇨끼 18,000",105
158,오와리 본점,010-7707-9512,펍, 연무장길 13 1층 오와리,"일요일 16:00~01:00 금,토,일 16:00 오픈~ | 금요일 16:00~01:00 금,토,일 16:00 오픈~ | 토요일 16:00~01:00 금,토,일 16:00 오픈~ | 목요일 17:00~01:00 | 수요일 17:00~01:00 | 화요일 17:00~01:00 | 월요일 17:00~01:00",https://www.instagram.com/owari_seoul,"오와리오뎅 1,500 | 명란치킨크림우동 18,000 | 유린기 20,000 | 칠리새우 22,000 | 오와리메뉴 19,000 | 규스지오뎅탕 29,000 | 오와리 야끼소바 18,000 | 이카게소국물떡볶이 16,000 | 연어사시미 21,000 | 명란구이 9,500 | 시사모구이 9,500 | 타코와사비 9,500 | 치즈떡구이 9,500 | 청어알쌈 18,000",104
159,고운 돈카츠,02-464-4004,일식, 아차산로 92 1층 105호,수요일 11:00~21:00 15:00~17:00(L.O:14:30)브레이크타임입니다. | 화요일 11:00~21:00 15:00~17:00(L.O:14:30)브레이크타임입니다. | 월요일 11:00~21:00 15:00~17:00(L.O:14:30)브레이크타임입니다. | 목요일 11:00~21:00 15:00~17:00(L.O:14:30)브레이크타임입니다. | 금요일 11:00~21:00 15:00~17:00(L.O:14:30)브레이크타임입니다. | 토요일 11:00~15:00 | 일요일 휴무,https://gowooncutlet.modoo.at,"등심카츠 11,000 | 안심카츠 12,000 | 치킨텐더 2,500 | 특 등심카츠  16,000 | 특 안심카츠 17,000",102
160,해월양꼬치샤브샤브 건대본점,02-462-5450,중식, 동일로18길 51 옥동빌딩,매일 00:00~24:00 코로나로 10시~22시까지 영업,,"양꼬치 13,000 | 양진 13,000 | 양갈비살 15,000 | 양쪽갈비 15,000 | 양갈비 25,000 | 탕수육 15,000 | 경장육슬 15,000 | 칠리새우 18,000 | 철판소고기 18,000 | 책갑볶음 18,000 | 메추리튀김 15,000 | 개구리다리튀김 18,000 | 불뉴두(책갑) 18,000 | 풍미심변볶음 15,000 | 가지감자볶음 15,000 | 건두부볶음 12,000 | 게살브로커리볶음 15,000 | 마파두부 10,000 | 샤브샤브 35,000 | 순대 12,000 | 감자전 12,000 | 양탕 12,000",100
161,천수곱창,02-499-0006,고기집, 아차산로 96 신성빌딩,평일 13:00~01:00 연중무휴 | 토요일 13:00~01:00 | 공휴일 12:00~24:00,http://blog.naver.com/kdhee0911,"모둠곱창 대(4인분) 70,000 | 모둠곱창 중 (3인분) 60,000 | 모둠곱창 소(2인분) 50,000 | 양구이 1인분 33,000 | 막창구이 1인분 25,000 | 염통구이 1인분 10,000 | 양볶음밥 2인기준 20,000 | 일반 볶음밥 2인기준 4,000 | 점심특선북어회냉면 8,000 | 점심특선물냉면 8,000 | 점심특선콩국수 8,000 | 모듬구이 29,000 | 소막창 29,000 | 소곱창 22,000 | 대창 29,000 | 또먹겠지김치찌개 7,000 | 염통 15,000 | 특양구이 35,000",100
162,동구식당,02-4670-3333,한식, 연무장길 17 1층,토요일 11:30~00:00 | 금요일 11:30~00:00 | 목요일 11:30~00:00 | 수요일 11:30~00:00 | 화요일 11:30~00:00 | 월요일 11:30~00:00 | 일요일 13:00~22:00,http://instagram.com/donggu_2020,"매콤갈비찜 35,000 | 참소라숙회 29,000 | 한우육회 23,000 | 명란감자전 19,000 | 동구라면 7,000 | 옛날떡구이 5,000 | 고슬밥 3,000 | 닭구이 19,000 | 민어조림 21,000 | 동구 칼국수 7,000 | 장칼국수 8,000 | 납작만두 3,000",99
163,미도,02-461-5167,일식, 아차산로 113 삼진빌딩,매일 11:30~22:30 | 매일 15:00~17:00 Break time | 일요일 휴무,,"정식 20,000 | 특정식 26,000 | 장어정식 26,000 | 모듬초밥 15,000 | 생대구탕 14,000 | 생대구지리 14,000 | 알탕 8,000 | 대구탕 8,000 | 회덮밥 7,000 | 알밥 7,000",98
164,해물썬,02-2138-8949,씨푸드, 아차산로 91 현진빌딩 2층,평일 11:30~14:30 Lunch Time | 평일 16:30~11:00 Dinner Time | 토요일 15:00~22:30 | 일요일 휴무,http://blog.naver.com/ninesbss,"조개전골(소) 39,000 | 해물썬 감바스 13,900 | 소고기 스키야키 칼국수 8,000 | 크림새우 16,900 | 낙.곱.새 29,000",97
165,해피니스디저트,010-4295-2600,카페/디저트, 아차산로30길 31 Happiness Dessert 妖开心甜品,매일 12:00~23:00 22:30음료마감,https://www.facebook.com/%ED%95%B4%ED%94%BC%EB%8B%88%EC%8A%A4-%EB%94%94%EC%A0%80%ED%8A%B8-Happiness-Dessert-%E5%A6%96%E5%BC%80%E5%BF%83%E7%94%9C%E5%93%81-311022449499808/,"대만식 타로볼 녹은빙수 · 芋圆 7,000 | 양즈간루 디저트 · 杨枝甘露甜品 6,000 | 버블 밀크티 · 奶茶 변동가격(업주문의) | 홍콩식 우유푸딩 · 双皮奶 4,000 | 크레이프 · 千层 변동가격(업주문의) | 롤케익 · 毛巾卷 변동가격(업주문의) | 홍콩식 팬케익 · 班戟 변동가격(업주문의) | 케익 · 蛋糕 변동가격(업주문의) | 모찌 · 雪媚娘 변동가격(업주문의) | 대만식 화과자 · 酥糕点 3,500 | 로우쏭 케익 · 肉松系列 변동가격(업주문의) | 크렘 브륄레 · 焦糖布蕾 3,500 | 코코넛 푸딩 · 椰奶冻 4,000 | 두유 케이크 · 豆乳盒子 7,000 | 아메리카노 3,000",96
166,풍조미역,02-466-6665,한식, 성수일로8길 60 1층,매일 11:30~23:00 브레이크 타임 15:00~ 17:30,,"전복조개 미역국 15,000 | 소갈비 미역국 13,000 | 전복 성게 미역국 19,000 | 전복 소갈비 미역국 18,000 | 해산물해초비빔밥 12,000 | 성게알해초비빔밥 14,000 | 멍게비빔밥 10,000 | 해물알탕 32,000 | 한치숙회무침 16,000",94
167,김뚜껑부대찌개 본점,02-466-4695,한식, 아차산로7길 29 성광빌딩,매일 11:00~22:00 매월 마지막주 일요일 휴무,,"김뚜껑 부대찌개 8,000 | 베이컨부대찌개 9,500 | 페퍼로니부대찌개 9,500 | 김뚜껑부대볶음 9,000 | 페퍼로니부대볶음 10,500 | 베이컨부대볶음 10,500 | 스페셜찌개 중 29,500 | 스페셜찌개 대 40,000 | 스페셜볶음 중 34,000 | 스페셜볶음 대 44,000 | 소불고기버섯전골 12,500 | 제육볶음 6,000 | 베이컨+페퍼로니 부대찌개 9,500 | 베이컨+페퍼로니 부대볶음 10,500",93
168,다모토리혼,02-466-1615,펍, 성수일로8길 53 2층,매일 14:00~23:00 주방마감 22:00 / 일요일(명절)휴무,,"김포예주 29,000",93
169,하오마라,010-9418-5198,중식, 연무장5가길 25 2층 210호,매일 10:00~22:00,,"마라탕(담백한맛) 8,000 | 마라탕(매운맛) 8,000 | 마라샹궈 15,000 | 향라치킨 18,000 | 향라새우 20,000 | 새우볶음밥 8,000",93
170,낭만순대 성수역본점,02-461-0700,한식, 아차산로 107 1층 낭만순대,매일 00:00~24:00 | 일요일 20:30~09:00 휴무,http://www.romanticsausage.com,"순대국 8,000 | 토마토순대국 10,000 | 뼈해장국 8,000 | 황태콩나물해장국 7,000 | 치즈돈까스 8,000 | 등심돈까스 7,000 | 고구마치즈돈까스 8,000",91
171,버터스쿱,070-0000-6666,카페/디저트, 광나루로 290 2층 버터스쿱,매일 12:00~20:00 라스트오더 19:30,http://instagram.com/butter.scoop,"아메리카노 5,000",87
172,산메촌 성수본점,02-461-7222,한식, 성수일로8길 59 1층,일요일 11:00~21:00 LAST ORDER 21:00 | 월요일 11:00~21:00 LAST ORDER 21:00 | 화요일 11:00~21:00 LAST ORDER 21:00 | 수요일 11:00~21:00 LAST ORDER 21:00 | 목요일 11:00~21:00 LAST ORDER 21:00 | 금요일 11:00~21:00 LAST ORDER 21:00,,"메밀 물막국수 8,000 | 메밀 코다리회막국수 10,000 | 메밀 비빔막국수 8,000 | 메밀꿩만두 4,000 | 코다리수육 27,000 | 코다리수육(1인) 10,000 | 메밀전 2장 8,000 | 메밀전 3장  12,000",86
173,스테치,010-8317-0288,카페/디저트, 연무장9길 6,매일 11:00~21:00,https://www.instagram.com/stetch_official,"아메리카노 4,500 | 필터 커피 5,500",85
174,사계,070-4379-2758,펍, 연무장13길 19 1층,금요일 17:30~23:00 일요일 휴무 | 목요일 17:30~23:00 일요일 휴무 | 수요일 17:30~23:00 일요일 휴무 | 화요일 17:30~23:00 일요일 휴무 | 월요일 17:30~23:00 일요일 휴무 | 토요일 16:00~23:00 일요일 휴무,http://app.catchtable.co.kr/ct/shop/seasons,"항정살 28,000 | 문어국수 18,000 | 피조개무침 16,000 | 열기구이 18,000 | 알배추구이 12,000 | 곶감치즈 16,000 | 통삼겹찜 24,000",83
175,스미토라,02-6406-1119,일식, 연무장길 29-9 1층,금요일 17:00~00:00 | 목요일 17:00~00:00 | 수요일 17:00~00:00 | 화요일 17:00~00:00 | 월요일 17:00~00:00 | 평일 17:00~00:00 | 토요일 17:00~00:00 | 일요일 휴무 첫번째 세번째 월요일 휴무,http://www.instagram.com/tora14.47,"디너오마카세 59,000 | 단품요리 12~25,000",79
176,마르코웤스,010-9924-5021,카페/디저트, 아차산로11길 26,평일 08:00~18:00,https://marcoworks.modoo.at,"아메리카노 4,000 | 에스프레소 4,000 | 카페라떼 4,500 | 바닐라라떼 5,000 | 초코라떼 4,000 | 콜드브루 4,500 | 카페오레 5,000",78
177,광장족발 본가,02-463-5800,한식, 아차산로 96 신성빌딩,,,"광장족발 (특대/국내산) 43,000 | 광장족발 (대/국내산) 38,000 | 광장족발 (중/국내산) 33,000 | 광장족발 (미니/국내산) 18,000 | 쟁반국수 15,000 | 녹두전 12,000 | 왕만두 5,000 | 육개장 6,000",78
178,탕화쿵푸마라탕 성수동지점,02-3499-4466,중식, 성수일로10길 26 하우스티세종타워 2층,매일 11:00~21:30 | 토요일 휴무,,"마라탕100g 1,700 | 마라향궈100g 3,000 | 꿔바로우 15,000 | 량피 7,000 | 계란볶음밥 7,000 | 운남쌀국수 9,000 | 볶음면 8,000",76
179,카페라니,02-462-1025,카페/디저트, 연무장5가길 14,평일 07:30~18:00 | 주말 12:00~18:00,http://www.instagram.com/cafe_rani,"아메리카노 ( 노체 / 디아 ) 4,000 | 카페라떼 4,500 | 바다라떼 6,000 | 흑임자 카페라떼 6,000 | 코코넛커피스무디 6,000",76
180,이키나리돈부리,02-465-3555,일식, 아차산로7길 36 1층 (나)호,토요일 11:30~21:00 close time 3시~5시반 | 금요일 11:30~21:00 close time 3시~5시반 | 목요일 11:30~21:00 close time 3시~5시반 | 수요일 11:30~21:00 close time 3시~5시반 | 화요일 11:30~21:00 close time 3시~5시반 | 월요일 11:30~21:00 close time 3시~5시반,,"수제생등심돈까스 8,000 | 돈까스덮밥 8,500 | 간장새우장덮밥 8,500 | 연어덮밥 12,000",74
181,토리아에즈,02-466-9105,일식, 아차산로7길 7 1층,평일 18:00~00:00 | 주말 17:00~00:00,https://www.instagram.com/toriaejeu_seongsu,"제임슨하이볼 6,000 | 발렌타인하이볼 6,000 | 토리사케 27,000 | 팽이말이 2,500 | 쯔쿠네 4,000 | 레몬하이볼 5,000 | 닭 껍질 1p 1,700 | 계란구이 1p 2,000 | 아스파라거스 1p 3,000 | 모찌말이 2,500 | 네기마(파) 1,900 | 은행 1p 1,500 | 명란 4,000 | 마늘 1,300 | 닭날개 2,200 | 시소하이볼 5,000 | 산토리하이볼 7,000 | 옥수수 1,900 | 꼬치밥 4,000 | 생맥주 5,000 | 짐빔하이볼 5,000 | 진저하이볼 5,000 | 히레사케 5,000 | 도쿠리 냉/온 7,000 | 계란밥 3,000 | 명란밥 4,500 | 주먹밥 3,000 | 유부시루 1,500 | 오이된장 2,000 | 새우 3,500 | 관자 2,500 | 노가리 3,000 | 시샤모 3,000 | 토마토말이 3,000 | 소시지 2,000 | 양송이 1p 1,700 | 무릎연골 2,000 | 척추 1,500 | 가슴연골 2,000 | 염통 1,300 | 목살 1,900 | 모래집 1,400 | 허벅지 2,000",74
182,성수BONE 성수동한우짝갈비,02-6348-0787,고기집, 아차산로 126 더리브세종타워 지1층105호,일요일 휴무 | 금요일 11:30~22:00 평일 11시30분~3시까지는 점심메뉴만 가능합니다.(월~금) | 월요일 11:30~22:00 평일 11시30분~3시까지는 점심메뉴만 가능합니다.(월~금) | 평일 11:30~22:00 평일 11시30분~3시까지는 점심메뉴만 가능합니다.(월~금) | 토요일 11:30~21:00 Break Time 없습니다.,http://instagram.com/sungsu_bone,"한우구이 27,000 | 육회비빔밥(한우) 11,000 | 갈비탕 13,000",73
183,에그드랍 성수역점,02-499-8162,양식, 아차산로7길 9-2 1층,평일 08:30~21:00 | 주말 09:00~21:00,http://www.instagram.com/eggdrop_seongsu,"미스터에그 2,900 | 아메리칸햄치즈 3,600 | 베이컨더블치즈 3,900 | 데리야끼바베큐 4,400 | 아보홀릭 4,600 | 타마고산도 3,900 | 갈릭 베이컨 치즈 4,400 | 사케라또 2,900",73
184,멘야마쯔리 성수점,02-466-6022,일식, 연무장5가길 25 SK V1타워 1층 111호,매일 11:00~21:00 브레이크타임15:00~16:00 | 일요일 휴무,http://instagram.com/menyamatsuri_sungsu,"돈코츠라멘 9,000 | 카라구찌라멘 9,000 | 미소라멘 9,000 | 마제소바 9,500 | 화산라멘 9,500 | 츠케멘 9,500 | 오코노미야끼 10,000 | 차슈차항 7,000 | 수제교자 4,500",72
185,오설록티하우스 아모레 성수점,02-461-7832,카페/디저트, 아차산로11길 7,월요일 휴무 | 화요일 10:30~20:30 | 수요일 10:30~20:30 | 목요일 10:30~20:30 | 금요일 10:30~20:30 | 주말 10:30~20:30,,"세작 6,300 | 오! 성수 버블 녹차 라떼(HOT) 6,500 | 오! 성수 버블 녹차 오프레도(ICE) 7,800",72
186,수완카페앤베이커리,010-4480-7515,카페/디저트, 아차산로30길 39 1층 SuWan Cafe&Bakery,,https://www.instagram.com/cafe.suwan,"생일축하 홀케이크 34,000 | 딸기듬뿍 미니 케이크 14,000 | 초코랑이 6,500 | 수완시그니처 바나나크림푸딩 5,500 | 딸기생크림케이크 6,800 | 바스크치즈케이크 7,000 | 귀여운 쫀득 쿠키 2,800 | 버터 크림 라떼 6,000 | 스콘 2,500 | 아메리카노 4,500 | 카페라떼 5,000 | 카라멜마끼야또 5,500 | 오렌지 에이드 5,500 | 멘드라미 꽃 에이드 5,500 | 펜지 꽃 에이드 5,500 | 청포도 에이드 5,500",70
187,담미온 성수점,02-466-9288,한식, 성수이로 118 성수아카데미타워,매일 00:00~24:00 일요일 밤에는 쉽니다 | 공휴일 00:00~24:00 일요일 밤에는 쉽니다,http://www.dammion.com,"수육국밥  보 8,000 | 순대국밥  보 8,000 | 얼큰국밥  보 8,500 | 부대찌개수육국밥  보 8,500 | 김치수육국밥 8,500 | 나가사끼수육국밥 8,500 | 수육곰탕 8,500 | 뼈해장국 9,000 | 고기덮밥 8,500 | 수육정식 13,000 | 순대정식 13,000 | 보쌈정식 11,000 | 정식추가 5,000 | 감자탕 30,000 | 곱창전골 25,000 | 순대볶음 35,000 | 착한보쌈 20,000 | 보쌈 35,000 | 마늘보쌈 40,000 | 불껍데기 15,000 | 담미온모듬 45,000 | 토종순대 소 6,000 | 토종순대 대 10,000 | 편육 소 6,000 | 편육 대 10,000 | 어리굴젓추가 5,000 | 수육국밥  특 10,000 | 순두부수육국밥 8,500 | 고기주는냉면 8,000 | 감자만두6개 3,000",69
188,RSG 성수,010-4228-4289,카페/디저트, 연무장15길 11 C동 110호,매일 11:00~02:00,https://instagram.com/rsg_seongsu?utm_medium=copy_link,"드립커피 핫 5,000 | 딸빙스무디 6,000 | 흑당버블라떼 5,000 | 에이드 트로피컬/레몬 5,000 | 아아 4,500",69
